Security,.SPXPE U Index                                                  
Start Date,1/31/1990 0:00
End Date,5/18/2021 0:00
Period,D
,
Date,PX_LAST
12/9/1991,16.8219
12/6/1991,16.8466
12/5/1991,16.7021
12/4/1991,16.8238
12/3/1991,16.8688
12/2/1991,16.8914
11/29/1991,16.5803
11/27/1991,16.5949
11/26/1991,16.6533
11/25/1991,16.5331
11/22/1991,16.5708
11/21/1991,16.7048
11/20/1991,16.6402
11/19/1991,16.6847
11/18/1991,16.9226
11/15/1991,16.7915
11/14/1991,17.3716
11/13/1991,17.3748
11/12/1991,17.3389
11/11/1991,17.1721
11/8/1991,17.1548
11/7/1991,17.1218
11/6/1991,16.9627
11/5/1991,16.9117
11/4/1991,16.9808
11/1/1991,17.0253
10/31/1991,17.0381
10/30/1991,17.1241
10/29/1991,17.0611
10/28/1991,16.9765
10/25/1991,16.7394
10/24/1991,16.7269
10/23/1991,16.8416
10/22/1991,16.8259
10/21/1991,16.9264
10/18/1991,17.0387
10/17/1991,16.9506
10/16/1991,16.9935
10/15/1991,16.9321
10/14/1991,16.7372
10/11/1991,16.5207
10/10/1991,16.4291
10/9/1991,16.2633
10/8/1991,16.4233
10/7/1991,16.3717
10/4/1991,16.4368
10/3/1991,16.48
10/2/1991,16.6495
10/1/1991,16.6337
9/30/1991,16.6504
9/27/1991,16.5678
9/26/1991,16.5241
9/25/1991,16.5433
9/24/1991,16.5848
9/23/1991,16.5055
9/20/1991,16.5926
9/19/1991,16.5539
9/18/1991,16.5255
9/17/1991,16.4632
9/16/1991,16.477
9/13/1991,16.3553
9/12/1991,16.5063
9/11/1991,16.4096
9/10/1991,16.3841
9/9/1991,16.5504
9/6/1991,16.5688
9/5/1991,16.5483
9/4/1991,16.5783
9/3/1991,16.6712
8/30/1991,16.8369
8/29/1991,16.7447
8/28/1991,16.7627
8/27/1991,16.6072
8/26/1991,16.6288
8/23/1991,16.6363
8/22/1991,16.4679
8/21/1991,16.4427
8/20/1991,15.9715
8/19/1991,15.8392
8/16/1991,16.2109
8/15/1991,16.3228
8/14/1991,16.3475
8/13/1991,16.3275
8/12/1991,16.2609
8/9/1991,16.2306
8/8/1991,16.2739
8/7/1991,16.3221
8/6/1991,16.3248
8/5/1991,16.074
8/2/1991,16.1633
8/1/1991,16.0502
7/31/1991,16.1226
7/30/1991,16.1111
7/29/1991,15.9519
7/26/1991,15.8478
7/25/1991,15.7859
7/24/1991,15.6882
7/23/1991,15.7171
7/22/1991,15.8448
7/19/1991,15.9001
7/18/1991,15.925
7/17/1991,15.7613
7/16/1991,15.7672
7/15/1991,15.7992
7/12/1991,15.7155
7/11/1991,15.5251
7/10/1991,15.4693
7/9/1991,15.484
7/8/1991,15.5637
7/5/1991,15.3913
7/3/1991,15.2946
7/2/1991,15.474
7/1/1991,15.4887
6/28/1991,15.2752
6/27/1991,15.3509
6/26/1991,15.2388
6/25/1991,15.1932
6/24/1991,15.1963
6/21/1991,15.4652
6/20/1991,15.2156
6/19/1991,15.1997
6/18/1991,15.3545
6/17/1991,15.4158
6/14/1991,15.509
6/13/1991,15.3023
6/12/1991,15.2588
6/11/1991,15.4338
6/10/1991,15.3372
6/7/1991,15.3498
6/6/1991,15.4639
6/5/1991,15.5275
6/4/1991,15.6409
6/3/1991,15.6565
5/31/1991,15.7741
5/30/1991,15.6391
5/29/1991,15.4676
5/28/1991,15.4432
5/24/1991,15.2652
5/23/1991,15.1349
5/22/1991,15.1603
5/21/1991,15.1247
5/20/1991,15.0051
5/17/1991,15.0066
5/16/1991,14.9464
5/15/1991,14.779
5/14/1991,14.9068
5/13/1991,15.1082
5/10/1991,15.0597
5/9/1991,15.3258
5/8/1991,15.1286
5/7/1991,15.0788
5/6/1991,15.1838
5/3/1991,15.2095
5/2/1991,15.0249
5/1/1991,15.006
4/30/1991,14.8077
4/29/1991,14.8274
4/26/1991,15.0372
4/25/1991,15.022
4/24/1991,15.1697
4/23/1991,15.1412
4/22/1991,15.1162
4/19/1991,15.2281
4/18/1991,15.296
4/17/1991,15.3723
4/16/1991,15.2702
4/15/1991,15.0238
4/12/1991,15.0058
4/11/1991,14.8689
4/10/1991,14.6928
4/9/1991,14.6968
4/8/1991,14.8994
4/5/1991,14.7701
4/4/1991,14.8998
4/3/1991,14.8776
4/2/1991,14.9185
4/1/1991,14.5832
3/28/1991,14.5693
3/27/1991,14.6185
3/26/1991,14.6684
3/25/1991,14.4129
3/22/1991,14.3232
3/21/1991,14.172
3/20/1991,14.2243
3/19/1991,14.1638
3/18/1991,14.3917
3/15/1991,14.4435
3/14/1991,14.4008
3/13/1991,14.438
3/12/1991,14.247
3/11/1991,14.361
3/8/1991,14.41
3/7/1991,14.4068
3/6/1991,14.4066
3/5/1991,14.4374
3/4/1991,14.1472
3/1/1991,14.1963
2/28/1991,13.9436
2/27/1991,14.0163
2/26/1991,13.833
2/25/1991,14.0081
2/22/1991,13.9395
2/21/1991,13.8612
2/20/1991,13.8594
2/19/1991,14.021
2/15/1991,13.9928
2/14/1991,13.7699
2/13/1991,13.9509
2/12/1991,13.8136
2/11/1991,13.94
2/8/1991,13.5736
2/7/1991,13.3505
