Security,.STRATOPT U Index                                               
Start Date,4/16/1999 0:00
End Date,5/18/2021 0:00
Period,D
,
Date,PX_LAST
9/14/2017,0.2556
9/13/2017,0.1453
9/12/2017,-0.3397
9/11/2017,-0.0044
9/8/2017,1.0795
9/7/2017,0.929
9/6/2017,0.911
9/5/2017,1.2267
9/1/2017,0.4623
8/31/2017,0.6615
8/30/2017,1.2374
8/29/2017,1.7046
8/28/2017,1.7903
8/25/2017,1.8399
8/24/2017,2.0103
8/23/2017,1.7987
8/22/2017,1.4471
8/21/2017,2.4556
8/18/2017,2.5747
8/17/2017,2.3864
8/16/2017,0.8059
8/15/2017,0.949
8/14/2017,0.8987
8/11/2017,1.9121
8/10/2017,2.0421
8/9/2017,0.5651
8/8/2017,0.5285
8/7/2017,0.2858
8/4/2017,0.451
8/3/2017,0.6407
8/2/2017,0.421
8/1/2017,0.4705
7/31/2017,0.7165
7/28/2017,-1.3389
7/27/2017,-1.4713
7/26/2017,-1.5671
7/25/2017,-1.5393
7/24/2017,-1.2515
7/21/2017,-1.3565
7/20/2017,-1.3928
7/19/2017,-1.4079
7/18/2017,-0.8782
7/17/2017,-0.819
7/14/2017,-0.8242
7/13/2017,-0.3607
7/12/2017,-0.1739
7/11/2017,0.5553
7/10/2017,0.4766
7/7/2017,0.5699
7/6/2017,1.2138
7/5/2017,0.2656
7/3/2017,0.4113
6/30/2017,0.6433
6/29/2017,-0.2356
6/28/2017,-1.0935
6/27/2017,-0.2224
6/26/2017,-1.0279
6/23/2017,-0.9966
6/22/2017,-0.8421
6/21/2017,-0.8873
6/20/2017,-0.945
6/19/2017,-1.6083
6/16/2017,-0.787
6/15/2017,-0.7589
6/14/2017,-0.9812
6/13/2017,-1.0798
6/12/2017,-0.6335
6/9/2017,-0.7307
6/8/2017,-0.8131
6/7/2017,-0.7866
6/6/2017,-0.631
6/5/2017,-0.9072
6/2/2017,-1.0279
6/1/2017,-0.6609
5/31/2017,-0.1576
5/30/2017,-0.2035
5/26/2017,-0.3237
5/25/2017,-0.2927
5/24/2017,0.1501
5/23/2017,0.3994
5/22/2017,0.584
5/19/2017,1.103
5/18/2017,1.7872
5/17/2017,2.1625
5/16/2017,0.3053
5/15/2017,0.2364
5/12/2017,0.7152
5/11/2017,0.5663
5/10/2017,0.3488
5/9/2017,0.4623
5/8/2017,0.3593
5/5/2017,0.363
5/4/2017,0.7734
5/3/2017,0.832
5/2/2017,0.7038
5/1/2017,0.8236
4/28/2017,0.8305
4/27/2017,0.6376
4/26/2017,0.6932
4/25/2017,0.6443
4/24/2017,1.2573
4/21/2017,2.3549
4/20/2017,2.0443
4/19/2017,2.8154
4/18/2017,2.639
4/17/2017,2.341
4/13/2017,3.2225
4/12/2017,2.5191
4/11/2017,2.1336
4/10/2017,1.9871
4/7/2017,2.0573
4/6/2017,1.9729
4/5/2017,2.1696
4/4/2017,1.8575
