Security,CDSPHRAV Index                                                  ,
Start Date,1/2/2003 0:00,
End Date,5/18/2021 0:00,
Period,D,
Currency,CNY,
,,
Date,PX_LAST,CHG_NET_1D
1/24/2018,4078,-14
1/23/2018,4092,-10
1/22/2018,4102,50
1/19/2018,4052,-1
1/18/2018,4053,-16
1/17/2018,4069,-1
1/16/2018,4070,-12
1/15/2018,4082,-63
1/12/2018,4145,-40
1/11/2018,4185,1
1/10/2018,4184,-15
1/9/2018,4199,-8
1/8/2018,4207,-52
1/5/2018,4259,-14
1/4/2018,4273,-21
1/3/2018,4294,2
1/2/2018,4292,6
12/29/2017,4286,-5
12/28/2017,4291,-6
12/27/2017,4297,-10
12/26/2017,4307,-25
12/25/2017,4332,-26
12/22/2017,4358,0
12/21/2017,4358,4
12/20/2017,4354,-21
12/19/2017,4375,-10
12/18/2017,4385,33
12/15/2017,4352,-5
12/14/2017,4357,-9
12/13/2017,4366,-20
12/12/2017,4386,12
12/11/2017,4374,53
12/8/2017,4321,-16
12/7/2017,4337,-42
12/6/2017,4379,-24
12/5/2017,4403,48
12/4/2017,4355,69
12/1/2017,4286,11
11/30/2017,4275,80
11/29/2017,4195,1
11/28/2017,4194,13
11/27/2017,4181,26
11/24/2017,4155,-21
11/23/2017,4176,-2
11/22/2017,4178,23
11/21/2017,4155,20
11/20/2017,4135,-1
11/17/2017,4136,-18
11/16/2017,4154,4
11/15/2017,4150,-13
11/14/2017,4163,5
11/13/2017,4158,37
11/10/2017,4121,16
11/9/2017,4105,0
11/8/2017,4105,-16
11/7/2017,4121,-2
11/6/2017,4123,36
11/3/2017,4087,8
11/2/2017,4079,-20
11/1/2017,4099,13
10/31/2017,4086,1
10/30/2017,4085,-23
10/27/2017,4108,-31
10/26/2017,4139,-56
10/25/2017,4195,2
10/24/2017,4193,-12
10/23/2017,4205,70
10/20/2017,4135,6
10/19/2017,4129,-74
10/18/2017,4203,-18
10/17/2017,4221,-31
10/16/2017,4252,128
10/13/2017,4124,0
10/12/2017,4124,3
10/11/2017,4121,-30
10/10/2017,4151,-69
10/9/2017,4220,165
9/29/2017,4055,-6
9/28/2017,4061,11
9/27/2017,4050,26
9/26/2017,4024,5
9/25/2017,4019,-50
9/22/2017,4069,-77
9/21/2017,4146,-10
9/20/2017,4156,-28
9/19/2017,4184,0
9/18/2017,4184,-21
9/15/2017,4205,-17
9/14/2017,4222,-12
9/13/2017,4234,3
9/12/2017,4231,7
9/11/2017,4224,-58
9/8/2017,4282,6
9/7/2017,4276,-17
9/6/2017,4293,-33
9/5/2017,4326,-4
9/4/2017,4330,209
9/1/2017,4121,36
8/31/2017,4085,-18
8/30/2017,4103,-28
8/29/2017,4131,17
8/28/2017,4114,-45
8/25/2017,4159,74
8/24/2017,4085,24
8/23/2017,4061,-84
8/22/2017,4145,-16
8/21/2017,4161,82
8/18/2017,4079,17
8/17/2017,4062,56
8/16/2017,4006,10
8/15/2017,3996,-71
8/14/2017,4067,-49
8/11/2017,4116,-17
8/10/2017,4133,52
8/9/2017,4081,-23
8/8/2017,4104,-9
8/7/2017,4113,213
8/4/2017,3900,16
8/3/2017,3884,11
8/2/2017,3873,12
8/1/2017,3861,17
7/31/2017,3844,59
7/28/2017,3785,3
7/27/2017,3782,-12
7/26/2017,3794,27
7/25/2017,3767,15
7/24/2017,3752,-14
7/21/2017,3766,-36
7/20/2017,3802,-1
7/19/2017,3803,8
7/18/2017,3795,11
7/17/2017,3784,49
7/14/2017,3735,-1
7/13/2017,3736,17
7/12/2017,3719,42
7/11/2017,3677,43
7/10/2017,3634,-13
7/7/2017,3647,30
7/6/2017,3617,-19
7/5/2017,3636,14
7/4/2017,3622,23
7/3/2017,3599,20
6/30/2017,3579,-7
6/29/2017,3586,34
6/28/2017,3552,48
6/27/2017,3504,41
6/26/2017,3463,24
6/23/2017,3439,0
6/22/2017,3439,7
6/21/2017,3432,-10
6/20/2017,3442,26
6/19/2017,3416,9
6/16/2017,3407,50
6/15/2017,3357,35
6/14/2017,3322,-23
6/13/2017,3345,9
6/12/2017,3336,60
6/9/2017,3276,37
6/8/2017,3239,22
6/7/2017,3217,19
6/6/2017,3198,-20
6/5/2017,3218,-19
6/2/2017,3237,-8
6/1/2017,3245,-27
5/31/2017,3272,16
5/26/2017,3256,-16
5/25/2017,3272,-29
5/24/2017,3301,-30
5/23/2017,3331,10
5/22/2017,3321,105
5/19/2017,3216,34
5/18/2017,3182,20
5/17/2017,3162,39
5/16/2017,3123,10
5/15/2017,3113,37
5/12/2017,3076,-3
5/11/2017,3079,-4
5/10/2017,3083,-79
5/9/2017,3162,-9
5/8/2017,3171,139
5/5/2017,3032,-88
5/4/2017,3120,-94
5/3/2017,3214,-32
5/2/2017,3246,110
4/28/2017,3136,55
4/27/2017,3081,14
4/26/2017,3067,50
4/25/2017,3017,19
4/24/2017,2998,-13
4/21/2017,3011,39
4/20/2017,2972,7
4/19/2017,2965,-61
4/18/2017,3026,-64
4/17/2017,3090,-9
4/14/2017,3099,39
4/13/2017,3060,-19
4/12/2017,3079,-163
4/11/2017,3242,-48
4/10/2017,3290,-38
4/7/2017,3328,-93
4/6/2017,3421,-12
4/5/2017,3433,-16
3/31/2017,3449,-8
3/30/2017,3457,6
3/29/2017,3451,15
3/28/2017,3436,-35
3/27/2017,3471,-97
3/24/2017,3568,-8
3/23/2017,3576,-47
3/22/2017,3623,-63
3/21/2017,3686,-35
3/20/2017,3721,-5
3/17/2017,3726,-14
3/16/2017,3740,-13
3/15/2017,3753,28
3/14/2017,3725,28
3/13/2017,3697,14
3/10/2017,3683,1
3/9/2017,3682,-64
3/8/2017,3746,-16
3/7/2017,3762,-28
3/6/2017,3790,-6
3/3/2017,3796,-48
3/2/2017,3844,12
3/1/2017,3832,-57
2/28/2017,3889,3
2/27/2017,3886,82
2/24/2017,3804,-76
2/23/2017,3880,-20
2/22/2017,3900,-15
2/21/2017,3915,33
2/20/2017,3882,23
2/17/2017,3859,7
2/16/2017,3852,-17
2/15/2017,3869,-4
2/14/2017,3873,19
2/13/2017,3854,91
2/10/2017,3763,-6
2/9/2017,3769,2
2/8/2017,3767,28
2/7/2017,3739,-8
2/6/2017,3747,-27
1/25/2017,3774,3
1/24/2017,3771,0
1/23/2017,3771,0
1/20/2017,3771,-6
1/19/2017,3777,-7
1/18/2017,3784,-15
1/17/2017,3799,9
1/16/2017,3790,26
1/13/2017,3764,-7
1/12/2017,3771,12
1/11/2017,3759,28
1/10/2017,3731,28
1/9/2017,3703,-24
1/6/2017,3727,-5
1/5/2017,3732,7
1/4/2017,3725,-10
1/3/2017,3735,0
12/30/2016,3735,-33
12/29/2016,3768,12
12/28/2016,3756,67
12/27/2016,3689,-11
12/26/2016,3700,-86
12/23/2016,3786,-63
12/22/2016,3849,-8
12/21/2016,3857,-9
12/20/2016,3866,-27
12/19/2016,3893,-25
12/16/2016,3918,20
12/15/2016,3898,-30
12/14/2016,3928,-35
12/13/2016,3963,41
12/12/2016,3922,171
12/9/2016,3751,-9
12/8/2016,3760,-1
12/7/2016,3761,88
12/6/2016,3673,72
12/5/2016,3601,-11
12/2/2016,3612,96
12/1/2016,3516,-23
11/30/2016,3539,-105
11/29/2016,3644,52
11/28/2016,3592,166
11/25/2016,3426,12
11/24/2016,3414,26
11/23/2016,3388,77
11/22/2016,3311,66
11/21/2016,3245,0
11/18/2016,3245,6
11/17/2016,3239,-33
