Start Date,1/10/2000,,,
End Date,,,,
,,,,
SPX Index,5 day,20 day,50 day,200 day
Dates,SMAVG,SMAVG,SMAVG,SMAVG
9/17/2001,1091.046,1192.818,1205.4014,1262.41815
9/18/2001,1071.246,1191.559,1203.5906,1261.11125
9/19/2001,1053.186,1189.517,1202.0004,1259.76075
9/20/2001,1032.938,1188.4725,1201.3016,1258.52605
9/21/2001,1007.59,1187.207,1200.5986,1257.3757
9/24/2001,1000.526,1184.721,1199.6602,1256.18255
9/25/2001,996.432,1181.3545,1198.3806,1255.09565
9/26/2001,994.62,1176.7685,1196.4984,1253.9845
9/27/2001,1001.434,1172.73,1194.4292,1252.73765
9/28/2001,1016.462,#N/A N/A,#N/A N/A,#N/A N/A
10/1/2001,1023.482,1169.353,1192.581,1251.4533
10/2/2001,1031.294,1165.72,1190.8438,1250.2504
10/3/2001,1044.342,1161.8635,1188.6366,1248.9438
10/4/2001,1054.546,1156.981,1186.1308,1247.6596
10/5/2001,1060.634,1152.1,1183.4576,1246.38555
10/8/2001,1065.412,#N/A N/A,#N/A N/A,#N/A N/A
10/9/2001,1066.496,#N/A N/A,#N/A N/A,#N/A N/A
10/10/2001,1068.238,#N/A N/A,#N/A N/A,#N/A N/A
10/11/2001,1073.798,#N/A N/A,#N/A N/A,#N/A N/A
10/12/2001,1077.852,1144.474,1179.7446,1244.9676
10/15/2001,1083.36,1136.7745,1175.6652,1243.42245
10/16/2001,1091.518,1128.6785,1171.2982,1241.7581
10/17/2001,1090.738,1118.8225,1166.6042,1240.00035
10/18/2001,1084.974,1109.014,1162.1084,1238.1198
10/19/2001,1081.34,1100.616,1158.2018,1236.5623
10/22/2001,1081.324,1093.3665,1154.8168,1235.0475
10/23/2001,1078.772,1085.453,1151.354,1233.45785
10/24/2001,1080.394,1078.279,1147.5634,1231.6682
10/25/2001,1086.69,1071.0795,1144.0686,1230.1156
10/26/2001,1092.916,1064.0465,1140.7906,1228.5906
10/29/2001,1090.596,1058.5375,1137.5284,1226.9978
10/30/2001,1085.598,1054.7215,1134.8198,1225.4582
10/31/2001,1080.514,1051.7515,1131.912,1223.95045
11/1/2001,1077.316,1048.6415,1129.1226,1222.5074
11/2/2001,1073.834,1045.1165,1126.5508,1221.11495
11/5/2001,1078.742,1041.367,1124.2528,1219.83795
11/6/2001,1090.556,1040.0965,1122.0628,1218.6292
