Security,.SPXCARRY U Index                                               
Start Date,5/18/2001 0:00
End Date,5/14/2021 0:00
Period,W
,
Date,PX_LAST
11/22/2002,-2.9797
11/15/2002,-3.4414
11/8/2002,-4.2311
11/1/2002,-6.7325
10/25/2002,-7.5349
10/18/2002,-3.6366
10/11/2002,-0.391
10/4/2002,9.0733
9/27/2002,7.9854
9/20/2002,10.0522
9/13/2002,3.3816
9/6/2002,-0.7702
8/30/2002,-5.9109
8/23/2002,-13.3345
8/16/2002,-14.1047
8/9/2002,-7.658
8/2/2002,2.023
7/26/2002,0.1019
7/19/2002,10.337
7/12/2002,6.8766
7/5/2002,3.7103
6/28/2002,6.1093
6/21/2002,6.5779
6/14/2002,3.8014
6/7/2002,1.31
5/31/2002,-0.9213
5/24/2002,-3.085
5/17/2002,-4.8366
5/10/2002,1.9163
5/3/2002,4.5251
4/26/2002,7.0133
4/19/2002,3.4948
4/12/2002,4.2831
4/5/2002,3.9512
3/29/2002,-0.045
3/22/2002,0.368
3/15/2002,-0.6178
3/8/2002,-2.1367
3/1/2002,-0.5017
2/22/2002,3.3341
2/15/2002,4.7891
2/8/2002,6.0194
2/1/2002,5.8018
1/25/2002,8.2865
1/18/2002,9.2592
1/11/2002,8.5746
1/4/2002,4.967
12/28/2001,6.0719
12/21/2001,6.3889
12/14/2001,8.1528
12/7/2001,4.79
11/30/2001,6.1196
11/23/2001,5.5701
11/16/2001,6.3766
11/9/2001,8.1845
11/2/2001,10.8424
10/26/2001,4.6916
10/19/2001,5.0546
10/12/2001,6.0976
10/5/2001,4.7523
9/28/2001,4.0806
9/21/2001,19.9971
9/14/2001,15.584
9/7/2001,14.988
8/31/2001,8.7329
8/24/2001,3.9938
8/17/2001,7.4173
8/10/2001,2.7353
8/3/2001,2.7238
7/27/2001,4.1978
7/20/2001,5.7242
7/13/2001,4.1189
7/6/2001,6.1248
6/29/2001,4.0643
6/22/2001,3.0278
6/15/2001,6.6384
6/8/2001,3.3374
6/1/2001,3.8077
5/25/2001,-0.108
5/18/2001,0.6406
